date,residual,split
2019-12-31,325.760009765625,train
2020-01-02,7.559997558593807,train
2020-01-03,-0.55999755859375,train
2020-01-06,0.97998046875,train
2020-01-07,4.191134897124357,train
2020-01-08,-7.439334539076867,train
2020-01-09,5.848205745468135,train
2020-01-10,-5.376695321466855,train
2020-01-13,-0.7432997957206453,train
2020-01-14,3.0353778792133426,train
2020-01-15,-3.344590671144772,train
2020-01-16,2.7929972175831494,train
2020-01-17,-7.59914625017376,train
2020-01-21,-11.13236589986252,train
2020-01-22,-2.714177667521767,train
2020-01-23,7.370051642655767,train
2020-01-24,4.421840321516186,train
2020-01-27,-5.666875878153689,train
2020-01-28,0.14481666192199327,train
2020-01-29,5.977576602447073,train
2020-01-30,-0.7063994865222298,train
2020-01-31,-4.529116678990022,train
2020-02-03,-2.269989013671875,train
2020-02-04,1.94000244140625,train
2020-02-05,12.329565349941447,train
2020-02-06,12.127256172954503,train
2020-02-07,-5.701217380823323,train
2020-02-10,9.213922975074865,train
2020-02-11,-1.470512264404931,train
2020-02-12,2.6120792910841146,train
2020-02-13,-3.634836668601281,train
2020-02-14,-2.9262696822566454,train
2020-02-18,-1.6099853515625,train
2020-02-19,-0.58001708984375,train
2020-02-20,-2.019989013671875,train
2020-02-21,-5.899993896484375,train
2020-02-24,-12.480010986328125,train
2020-02-25,-13.759979248046875,train
2020-02-26,1.449981689453125,train
2020-02-27,-16.676410298047983,train
2020-02-28,-13.289513566874973,train
2020-03-02,13.645916540704206,train
2020-03-03,-8.649993896484375,train
2020-03-04,2.6108006358029456,train
2020-03-05,-22.269820091461156,train
2020-03-06,1.4798115465392812,train
2020-03-09,-35.27078903912326,train
2020-03-10,3.950796973693599,train
2020-03-11,-41.21038975935048,train
2020-03-12,-33.46193496110763,train
2020-03-13,14.12671625760754,train
2020-03-16,-40.250998444079215,train
2020-03-17,-5.37135379517423,train
2020-03-18,-21.748624383536082,train
2020-03-19,-4.682105788104366,train
2020-03-20,-2.3844855701593275,train
2020-03-23,9.977955547857718,train
2020-03-24,25.504508393957266,train
2020-03-25,31.959094632522664,train
2020-03-26,21.185402605813607,train
2020-03-27,-20.137762322331156,train
2020-03-30,-11.605571710565386,train
2020-03-31,-2.682043359453587,train
2020-04-01,-18.378164934566513,train
2020-04-02,-7.574862841011395,train
2020-04-03,0.9246858763341663,train
2020-04-06,24.57870822507256,train
2020-04-07,-7.392247092342586,train
2020-04-08,5.438615201169966,train
2020-04-09,5.1890502788091055,train
2020-04-13,-5.79498536894684,train
2020-04-14,-5.570160922562508,train
2020-04-15,5.562294220976327,train
2020-04-16,-12.426558549324312,train
2020-04-17,20.107984956850686,train
2020-04-20,-11.393560926643318,train
2020-04-21,-5.747810834608401,train
2020-04-22,-3.2721741813977303,train
2020-04-23,2.9822487795363486,train
2020-04-24,-8.295250960559827,train
2020-04-27,-0.5970207375407028,train
2020-04-28,4.151604578900972,train
2020-04-29,7.508554949361837,train
2020-04-30,0.8488019476220074,train
2020-05-01,-6.78281809411348,train
2020-05-04,-1.856775692036308,train
2020-05-05,-5.837464361829149,train
2020-05-06,-3.161448599162611,train
2020-05-07,6.309796617558121,train
2020-05-08,3.579758419323639,train
2020-05-11,-4.359272513755428,train
2020-05-12,-2.824134680889216,train
2020-05-13,-3.839043247333251,train
2020-05-14,1.0336076581930627,train
2020-05-15,-3.0970484179309494,train
2020-05-18,15.737880664226893,train
2020-05-19,-5.504714553371542,train
2020-05-20,3.258535270082831,train
2020-05-21,6.227928783159911,train
2020-05-22,-1.9415671500697442,train
2020-05-26,6.597821473820261,train
2020-05-27,5.011609816527795,train
2020-05-28,0.9809101146659884,train
2020-05-29,-4.672052744689211,train
2020-06-01,5.3395364756048025,train
2020-06-02,2.563625915678955,train
2020-06-03,20.639713526025645,train
2020-06-04,10.762103713968742,train
2020-06-05,23.146968672111,train
2020-06-08,22.32898241099079,train
2020-06-09,-13.24168959205511,train
2020-06-10,-12.780788239321197,train
2020-06-11,-31.82521947855426,train
2020-06-12,18.57611923005416,train
2020-06-15,0.4023142169674827,train
