ticker,p,d,q,forecast_1_day,forecast_3_day,forecast_7_day
AAPL,0,1,0,108.45499113699148,108.45499113699148,108.45499113699148
AAPL,0,1,1,109.34623978615788,109.34623978615788,109.34623978615788
AAPL,0,1,2,109.48904694221329,108.97411506756461,108.97411506756461
AAPL,0,1,3,109.6251291368535,109.1751233483684,109.1751233483684
AAPL,1,1,0,109.59668910692096,109.36895123172124,109.35606182282716
AAPL,1,1,1,109.7686516597216,109.41118653887558,109.3248079531464
AAPL,1,1,2,109.70372327476885,109.22710393203315,109.17683524804616
AAPL,1,1,3,108.21804544019389,107.5517044924288,107.80798615792988
AAPL,2,1,0,109.73517304295976,109.27122725810582,109.19197655847391
AAPL,2,1,1,109.48921313399983,108.78730952004271,108.440570534052
AAPL,2,1,2,108.79606562711172,107.97015238360743,107.73047797035487
AAPL,2,1,3,108.6562691457981,107.89502982671644,107.921103977474
TSLA,0,1,0,128.7212875203941,128.7212875203941,128.7212875203941
TSLA,0,1,1,128.95199027779194,128.95199027779194,128.95199027779194
TSLA,0,1,2,129.23252028956955,128.69923902675188,128.69923902675188
TSLA,0,1,3,128.17154563080504,126.24592477440213,126.24592477440213
TSLA,1,1,0,128.98073830498814,128.97315636446345,128.97314862912916
TSLA,1,1,1,129.0414013303946,128.98722797774292,128.98400909462762
TSLA,1,1,2,129.0653912928295,127.83448702676307,127.66617597653942
TSLA,1,1,3,128.19044695429315,126.30227571046558,126.36325206058261
TSLA,2,1,0,129.08205804198056,128.69626544740547,128.67455978857512
TSLA,2,1,1,128.99299296432002,128.28442163795592,128.13375277548897
TSLA,2,1,2,129.12256434483527,127.69861991143144,128.18456702911752
TSLA,2,1,3,128.23651699117792,126.75239875035717,127.1096138655133
BA,0,1,0,145.4623550758923,145.4623550758923,145.4623550758923
BA,0,1,1,145.24503835061944,145.24503835061944,145.24503835061944
BA,0,1,2,145.82399756757476,145.22012864071314,145.22012864071314
BA,0,1,3,145.81658401837083,145.21051014512227,145.21051014512227
BA,1,1,0,145.1544801104753,145.1252599901554,145.12504420066062
BA,1,1,1,144.62537982642988,143.6358879106596,142.95678160966384
BA,1,1,2,145.79702741407942,145.18774989384013,145.17893300624732
BA,1,1,3,145.76648083189272,145.1270390665017,145.10178477539773
BA,2,1,0,145.4276707036936,144.5227064208921,144.24795260168764
BA,2,1,1,145.49219029345994,144.6468516356399,144.40776451152456
BA,2,1,2,145.72551225803895,145.04872341281668,144.9850416126444
BA,2,1,3,145.73673155307839,145.07542458914872,145.01529098961527
DIS,0,1,0,121.25,121.25,121.25
DIS,0,1,1,121.24504083533682,121.24504083533682,121.24504083533682
DIS,0,1,2,121.43744442298198,121.51110143393882,121.51110143393882
DIS,0,1,3,121.46516697383014,121.51669281169382,121.51669281169382
DIS,1,1,0,121.29818504915012,121.29150913615965,121.2913197432242
DIS,1,1,1,121.51655113695693,121.45039334200052,121.43364221652543
DIS,1,1,2,121.45756250806934,121.51467493449317,121.5147772889583
DIS,1,1,3,121.54398871553472,121.61889048869428,121.61475382873863
DIS,2,1,0,121.54401602245586,121.50897047278383,121.50140741388124
DIS,2,1,1,121.49797178963263,121.48707044074823,121.48499424054361
DIS,2,1,2,121.19899321210045,120.69280308298376,120.73191608285345
DIS,2,1,3,121.13883673868833,120.89704516010708,120.90095127635016
AMZN,0,1,0,151.79624181863983,151.79624181863983,151.79624181863983
AMZN,0,1,1,152.8360721866265,152.8360721866265,152.8360721866265
AMZN,0,1,2,152.9099773547502,152.117656659596,152.117656659596
AMZN,0,1,3,153.29114662851805,153.0002744908078,153.0002744908078
AMZN,1,1,0,153.09902980318677,152.93724564714205,152.93364765631668
AMZN,1,1,1,153.59420039169365,153.19166834981075,152.95068798366663
AMZN,1,1,2,153.4910812101038,152.8774752609383,152.60354422300557
AMZN,1,1,3,153.7087616004734,153.42036937451326,153.0615036406291
AMZN,2,1,0,153.2311571598636,152.36324011026565,152.22748167861363
AMZN,2,1,1,153.48846298090697,152.8781182704477,152.61311108356458
AMZN,2,1,2,154.02390031703766,153.25275496301506,152.11214549748075
AMZN,2,1,3,154.73097969555957,154.02552800248054,152.75642573073156
