date,residual,split
2019-12-31,144.6300048828125,train
2020-01-02,3.514880291562605,train
2020-01-03,-1.022280982395955,train
2020-01-06,-1.4154188179882965,train
2020-01-07,0.12357011656320083,train
2020-01-08,-0.3935722818334568,train
2020-01-09,-0.7024361714170482,train
2020-01-10,-0.15334763628752057,train
2020-01-13,-0.6383819259887105,train
2020-01-14,1.130419087941135,train
2020-01-15,-0.5533845333303304,train
2020-01-16,0.25242583183467104,train
2020-01-17,-0.7026712162299873,train
2020-01-21,-0.572829829450825,train
2020-01-22,0.4405307843230162,train
2020-01-23,-1.682068089518765,train
2020-01-24,-2.7555223304627816,train
2020-01-27,-4.140613442460079,train
2020-01-28,2.08532552198119,train
2020-01-29,-1.5481921313396754,train
2020-01-30,0.9425489315238167,train
2020-01-31,0.9184364450232749,train
2020-02-03,2.8252606476458197,train
2020-02-04,2.958858497026881,train
2020-02-05,-2.6541525430375543,train
2020-02-06,1.1779814161185413,train
2020-02-07,-1.265017331911622,train
2020-02-10,1.3852182415929235,train
2020-02-11,-1.3993053794735033,train
2020-02-12,0.762772490456797,train
2020-02-13,-0.7608576433175642,train
2020-02-14,-1.8362834385013684,train
2020-02-18,-0.35844755589943134,train
2020-02-19,2.3049981132350297,train
2020-02-20,-0.6905744430979155,train
2020-02-21,-1.9155544120664274,train
2020-02-24,-5.913210977362553,train
2020-02-25,-6.067634213858469,train
2020-02-26,-4.9114281007944385,train
2020-02-27,-5.278390816707116,train
2020-02-28,-1.1853934471735244,train
2020-03-02,2.663042731529643,train
2020-03-03,-3.278569582881886,train
2020-03-04,2.089619272005649,train
2020-03-05,-4.440010838853468,train
2020-03-06,-0.2903378035064179,train
2020-03-09,-9.838288553812447,train
2020-03-10,5.055816411738974,train
2020-03-11,-3.6123306369087516,train
2020-03-12,-15.801314535292647,train
2020-03-13,7.9450744630613315,train
2020-03-16,-3.2824172074649027,train
2020-03-17,-3.4852117894333077,train
2020-03-18,-4.922241114832872,train
2020-03-19,5.611220182454318,train
2020-03-20,-7.265326488500904,train
2020-03-23,-2.0179212334405463,train
2020-03-24,12.588853413420622,train
2020-03-25,4.74803602032253,train
2020-03-26,4.0590396235236454,train
2020-03-27,-8.78777614579704,train
2020-03-30,1.9217485269560513,train
2020-03-31,-2.1641969476737017,train
2020-04-01,-2.320535875470412,train
2020-04-02,2.068708814004026,train
2020-04-03,-2.437442172696109,train
2020-04-06,5.212641380830533,train
2020-04-07,2.7463173716541434,train
2020-04-08,-0.640902393338763,train
2020-04-09,2.9326717906776594,train
2020-04-13,0.051838181106148795,train
2020-04-14,2.2269062179295247,train
2020-04-15,-2.1815419594922645,train
2020-04-16,-2.0440002898618843,train
2020-04-17,4.624554551010078,train
2020-04-20,-3.3139677393114937,train
2020-04-21,-3.135487979030046,train
2020-04-22,0.6222961401259113,train
2020-04-23,0.5053816347946452,train
2020-04-24,0.15661967622487794,train
2020-04-27,4.879601134137346,train
2020-04-28,0.5774375368602591,train
2020-04-29,5.406019051581566,train
2020-04-30,-2.563698572447933,train
2020-05-01,-3.984658369085494,train
2020-05-04,-2.431808229500618,train
2020-05-05,-3.128495436411896,train
2020-05-06,-0.32031630974007896,train
2020-05-07,5.413123327123088,train
2020-05-08,4.566037130679092,train
2020-05-11,-1.0074198945338395,train
2020-05-12,-4.238650750729477,train
2020-05-13,-1.9526448747838572,train
2020-05-14,3.1543024942454707,train
2020-05-15,3.8317966288039003,train
2020-05-18,8.294403188577036,train
2020-05-19,-1.546564760404749,train
2020-05-20,4.020742017472216,train
2020-05-21,-0.8190389371940796,train
2020-05-22,-0.17605516060451976,train
