ticker,early_stop,lr_reduce,batchNorm,l2,train_rmse,train_mae,test_rmse,test_mae
AAPL,False,False,False,False,7.661617554912343,5.678150927950318,7.1186253336760235,6.928628489720572
AAPL,False,False,False,True,4.99402434149741,3.760747743595392,3.0505352570420308,2.8012169553702138
AAPL,False,False,True,False,18.88608840762569,15.740993399698759,39.73377828607848,39.63512649104814
AAPL,False,False,True,True,20.169775701184715,16.681317080141355,44.43051986426931,44.34854227545566
AAPL,False,True,False,False,6.6322791779802195,4.885916337787846,4.579746881052542,4.242334019228867
AAPL,False,True,False,True,5.870186057028628,4.348046118755152,1.9917580385264873,1.432563022581082
AAPL,False,True,True,False,19.069109817243753,16.30651109586382,38.6839310579732,38.601751356692525
AAPL,False,True,True,True,19.562818242309817,15.515531493737022,41.9885209530904,41.9192600349924
AAPL,True,False,False,False,11.435718268485038,9.329733748504504,16.778764728862967,16.6582067126454
AAPL,True,False,False,True,7.7339463555563395,5.892773239494321,12.11619507047822,11.940223432613038
AAPL,True,False,True,False,20.031163301038685,17.205156099498915,42.383310231742556,42.28498665498781
AAPL,True,False,True,True,17.89305611018634,14.949666222017974,38.65881369662059,38.57231300184518
AAPL,True,True,False,False,7.725059241982527,5.836672351825372,14.522755832136701,14.399263628500648
AAPL,True,True,False,True,7.1477689933626625,5.591821592418959,12.11084891522455,11.983626664857184
AAPL,True,True,True,False,22.815788026428034,18.13178320322731,48.467059623632565,48.382453682836136
AAPL,True,True,True,True,20.679839984396033,17.02314831017512,44.03541889911577,43.93988406678606
TSLA,False,False,False,False,15.424132669711215,11.560538241111447,16.30787643415,15.261194508147055
TSLA,False,False,False,True,14.474175651920966,11.005175628824386,14.281503623331629,13.283231178517594
TSLA,False,False,True,False,37.90142149821716,30.938790836292295,129.27985001079585,129.04181444711787
TSLA,False,False,True,True,39.13251579166084,33.46021613825884,139.84529891172608,139.61913694911394
TSLA,False,True,False,False,7.795301788477009,5.756912797396884,26.463912366654107,25.51859623987654
TSLA,False,True,False,True,12.257759526024145,9.402433758027554,7.163900433198246,5.624255957196048
TSLA,False,True,True,False,55.71512277405014,42.57610909544879,157.70634687788066,157.53639484139737
TSLA,False,True,True,True,37.38353769050621,31.298847767380877,124.79184807124365,124.54721689486162
TSLA,True,False,False,False,12.304889229933185,9.159666873796073,31.0697753510396,30.180448692659827
TSLA,True,False,False,True,10.577635986603278,8.040679884290347,20.505935725253117,19.57852088730711
TSLA,True,False,True,False,37.9490406884082,32.12613854890335,126.82236054838548,126.59660219846943
TSLA,True,False,True,True,36.39351526936163,30.964296461206857,127.89574194959435,127.62779149266379
TSLA,True,True,False,False,12.664329834890857,9.189167855958559,17.96865672144956,16.22489119470003
TSLA,True,True,False,True,13.955103076636865,10.304529689076189,32.933498243304385,32.155442088313784
