ticker,early_stop,lr_reduce,batchNorm,l2,forecast_1_day,forecast_3_day,forecast_7_day
AAPL,False,False,False,False,142.65876016207767,145.0874701080611,151.3810912143199
AAPL,False,False,False,True,136.82415374860648,138.61865823890912,142.17325275349867
AAPL,False,False,True,False,92.41461021678242,89.04866692433916,85.62807193322715
AAPL,False,False,True,True,87.20744877591278,81.1128255726162,80.70540930696552
AAPL,False,True,False,False,130.94586600384537,131.2190034833784,132.50390950801557
AAPL,False,True,False,True,133.2196596546073,134.38139689182572,136.43004900213418
AAPL,False,True,True,False,93.18447448146071,87.46666966721386,86.18859394131596
AAPL,False,True,True,True,91.6464331638881,88.75486866381561,82.75561597930391
AAPL,True,False,False,False,115.31583857163787,114.03844005764222,111.24781503883605
AAPL,True,False,False,True,121.03408555173155,121.0515022317195,118.72223771187782
AAPL,True,False,True,False,88.7616035478195,88.27454855877659,87.06691450665676
AAPL,True,False,True,True,93.05411700824789,90.48959931319223,87.23843063864388
AAPL,True,True,False,False,119.70029460194382,119.73250289310272,117.20530632270857
AAPL,True,True,False,True,121.33547510168864,121.22432857092645,119.03526785955
AAPL,True,True,True,False,83.78822217173729,83.30671054610048,76.91777244639616
AAPL,True,True,True,True,87.58673863932745,89.08033065334985,85.96059228599006
TSLA,False,False,False,False,248.6738128799575,252.62146887272502,261.42101782033296
TSLA,False,False,False,True,246.73395641338948,250.35713477400213,258.8996750883666
TSLA,False,False,True,False,93.44632099102955,82.5284147850034,72.05750551116284
TSLA,False,False,True,True,82.07997027454758,65.32101379243875,63.808336826882964
TSLA,False,True,False,False,200.61081122909036,197.44403482673488,190.63450812832343
TSLA,False,True,False,True,231.83090955622947,235.24054049318602,240.13091702005295
TSLA,False,True,True,False,60.65101201013408,78.60256981804457,71.96944026703795
TSLA,False,True,True,True,98.35441553730948,84.07109725452926,74.31763232099502
TSLA,True,False,False,False,198.4430839328238,198.6026730880908,193.9708966840276
TSLA,True,False,False,True,211.05931266853713,210.7065945620575,209.34626039504747
TSLA,True,False,True,False,95.8943959456335,82.82509637475857,72.2571443319066
TSLA,True,False,True,True,94.93463038903622,74.91106745615036,68.66963057510998
TSLA,True,True,False,False,215.67529269217766,218.24663189937246,219.42738170717212
TSLA,True,True,False,True,196.9320323183083,198.5819667930673,196.31194396570345
TSLA,True,True,True,False,108.09573689757667,94.44771500460888,78.68945837573926
TSLA,True,True,True,True,83.86235392834897,78.46772070660677,73.6533801330927
BA,False,False,False,False,204.299688933397,198.11588358578345,188.2453760566198
BA,False,False,False,True,204.074343571519,204.28382982002475,192.9901925646591
BA,False,False,True,False,185.2318210140552,183.06046162920214,181.12027816261391
BA,False,False,True,True,186.10611858673795,182.301180244961,181.7851722430751
BA,False,True,False,False,200.71445347957527,194.80366111353922,187.40440669657417
BA,False,True,False,True,179.37464719688253,183.90627599352277,176.77971857959554
BA,False,True,True,False,137.10120623600247,137.8185188992061,128.08458933216755
BA,False,True,True,True,169.62522715810135,167.80185794831144,161.84982285954928
BA,True,False,False,False,178.13139201603965,175.13393683240136,170.54795220363852
BA,True,False,False,True,201.2430103434654,196.92329782076698,188.95054987759093
BA,True,False,True,False,161.69284923501803,162.1899888041062,160.99139192353735
BA,True,False,True,True,164.1747779078785,161.08736664331425,160.03988273769554
BA,True,True,False,False,193.43767083992842,189.98798265632857,184.82906122544844
BA,True,True,False,True,187.01243531810772,186.8525953168237,178.44862694657448
BA,True,True,True,False,165.5227047416379,164.08929066629938,162.98468987798518
BA,True,True,True,True,161.9744011604653,156.87480846205838,155.88387719174287
DIS,False,False,False,False,170.33363874591487,168.99487133338425,164.45601816054932
DIS,False,False,False,True,163.8024703461224,157.8825636495776,138.63476099334548
DIS,False,False,True,False,124.40160655584579,117.31996320283997,110.28883839174114
DIS,False,False,True,True,124.61168240795133,116.62773933953304,115.43197133290278
DIS,False,True,False,False,148.44076949503233,147.55159998559066,140.98048643254288
DIS,False,True,False,True,154.66797064922957,152.40397032140208,146.4531138536404
DIS,False,True,True,False,123.26023139509518,117.58099675907033,114.42246765405798
DIS,False,True,True,True,127.34063270792377,120.85698314878756,119.65087249975568
DIS,True,False,False,False,149.5586308685597,148.3038104304842,143.0389551207054
DIS,True,False,False,True,151.3097790470738,148.23157196736247,143.36852031320177
DIS,True,False,True,False,120.72624306784975,117.53857666619751,116.19713520236587
DIS,True,False,True,True,95.94022057765699,106.85522812209797,110.55053255215512
DIS,True,True,False,False,150.13529552115415,146.4060118449197,138.93604860506912
DIS,True,True,False,True,142.9173295166447,139.01075828609464,133.37713325159257
DIS,True,True,True,False,129.7254696365053,126.06920970498551,120.69759331570596
DIS,True,True,True,True,121.0736873730116,117.05238687390647,116.5361051654088
AMZN,False,False,False,False,165.71596658808994,166.29186392200927,167.0531875828883
AMZN,False,False,False,True,165.8942343444137,168.98521669936326,172.68338404058704
AMZN,False,False,True,False,132.99454374441666,128.65188393180506,127.23236425003506
AMZN,False,False,True,True,129.003588100255,127.48370470538339,126.80325354520255
AMZN,False,True,False,False,166.99083339232948,167.66693965944478,167.6962538680027
AMZN,False,True,False,True,165.77916101242226,166.73470581561378,168.27249392885597
AMZN,False,True,True,False,133.0318843966529,129.35844038142864,127.94744741410341
AMZN,False,True,True,True,137.8203932553215,135.29929945724007,132.25446362558705
AMZN,True,False,False,False,160.08631186006096,159.6415794404661,155.79692950211302
AMZN,True,False,False,True,159.6627511204165,158.73607829748107,153.43803398943737
AMZN,True,False,True,False,124.62875065083108,117.27237958723504,106.71905997578892
AMZN,True,False,True,True,134.64908565719725,133.8042748207854,129.5761023876653
AMZN,True,True,False,False,132.3007538730817,131.8732130787207,129.63992145947395
AMZN,True,True,False,True,162.98470378956108,162.21273901016912,157.7523856628777
AMZN,True,True,True,False,131.4289836938192,130.36320795854135,129.65618716920085
AMZN,True,True,True,True,130.25715608390738,128.9802329180643,127.73803572962288
