ticker,p,d,q,train_rmse,train_mae,test_rmse,test_mae
AAPL,0,1,0,5.698133612265156,2.245416133911111,15.259512021201243,13.769750312954944
AAPL,0,1,1,5.671552075356246,2.210951775757595,14.442243357762433,12.901116407994769
AAPL,0,1,2,5.663268245618572,2.177801047101863,14.772482901994783,13.264847463626698
AAPL,0,1,3,5.6629136818809584,2.1786157463396196,14.59335528565393,13.075092819901355
AAPL,1,1,0,5.666073955496276,2.194878232285044,14.429392872003904,12.893489197978708
AAPL,1,1,1,5.663482184764051,2.1830754442269957,14.461472492259004,12.934405714328596
AAPL,1,1,2,5.662479907943447,2.176623803801018,14.59098487724834,13.074269415636769
AAPL,1,1,3,5.641074600192128,2.1861675350334226,15.405584463805527,13.911642590737229
AAPL,2,1,0,5.662618303566723,2.176899306258698,14.578923010429872,13.061819527481841
AAPL,2,1,1,5.6619175202608,2.1700233020347213,15.336065628555351,13.851004093809706
AAPL,2,1,2,5.629643606561307,2.143868365235729,14.968711711086097,13.452451063326944
AAPL,2,1,3,5.63108859289295,2.179802749187707,15.056237440758107,13.548874108992523
TSLA,0,1,0,5.18113624868792,3.242946162382077,65.62200960611169,56.4439653327758
TSLA,0,1,1,5.179110701286224,3.236413441040927,65.42707102944505,56.21928537167527
TSLA,0,1,2,5.169184460888349,3.2460329031355735,65.65783248443763,56.48161728449044
TSLA,0,1,3,5.109232028626014,3.2990476031392166,67.75489276390586,58.84614869030694
TSLA,1,1,0,5.178879029999428,3.235819629418594,65.40936273287383,56.198819425794206
TSLA,1,1,1,5.178087475114613,3.2363732347239367,65.40256741819904,56.19094275660105
TSLA,1,1,2,5.154643753559799,3.268433384591774,66.54709873242845,57.48078481613685
TSLA,1,1,3,5.108831455853619,3.2972795895671645,67.65723528593723,58.73699765186091
TSLA,2,1,0,5.172639422389222,3.2467362867860103,65.67151699905146,56.498260426039465
TSLA,2,1,1,5.165872388681661,3.2482708841581265,66.14120323606483,57.02262964192447
TSLA,2,1,2,5.094125948531108,3.274845016864265,66.13241346087544,57.02558029756917
TSLA,2,1,3,5.077123096272775,3.2856605316028467,66.9313516329419,57.92863390165338
BA,0,1,0,24.454192027362545,8.131907644327237,67.27752341624172,62.531866819218436
BA,0,1,1,24.44459590240431,8.141897251071263,67.48663984033018,62.754585833978894
BA,0,1,2,24.3372534626629,8.215306790657355,67.57990807404033,62.83750291545754
BA,0,1,3,24.33680319768479,8.217535745908988,67.59419999474376,62.85259057112696
BA,1,1,0,24.44009644984345,8.145895461260498,67.60286796215416,62.87782211921946
BA,1,1,1,24.403143826738024,8.154579731290571,69.7781561522801,65.1021021998823
BA,1,1,2,24.336508835658876,8.218449665255852,67.62539957508453,62.88551115703215
BA,1,1,3,24.336238725571633,8.2177672750409,67.69477040126905,62.958139961535835
BA,2,1,0,24.34080108897885,8.190403117125689,68.46995624546128,63.76449105879169
BA,2,1,1,24.340116408025356,8.186563325225073,68.31545658449335,63.60438476222451
BA,2,1,2,24.335422413205375,8.215607234029878,67.7952903103292,63.063223416952106
BA,2,1,3,24.33535216338772,8.21606867517761,67.76740371785662,63.03409873714751
DIS,0,1,0,10.44755808695354,2.9767830017908956,36.4901685183416,32.25913617437022
DIS,0,1,1,10.43758592113736,2.956852081256358,36.51804588802425,32.286771488346176
DIS,0,1,2,10.43208956154678,2.9638104862025694,36.30036102225906,32.047953494422565
DIS,0,1,3,10.43206855178244,2.962602498325445,36.29541922332388,32.04302771243136
DIS,1,1,0,10.435577005430988,2.9553934151477037,36.485255338848575,32.25063459254574
DIS,1,1,1,10.433383842231382,2.9523187624140292,36.36511228910298,32.12264684760463
DIS,1,1,2,10.432074458778233,2.9629252704901905,36.29716206117604,32.04482028154811
DIS,1,1,3,10.431825846525252,2.960613716363608,36.21000793700185,31.949954522630215
DIS,2,1,0,10.432450188011867,2.9568813572483816,36.30718930389159,32.05869696720071
DIS,2,1,1,10.432355233638294,2.9592375915438645,36.32213460357564,32.074148522724386
DIS,2,1,2,10.415637399734386,2.9523814098016725,36.7985792628004,32.6039260625134
DIS,2,1,3,10.413677762276407,2.930382249050136,36.712197358982166,32.503931215090375
AMZN,0,1,0,7.1111769556505235,2.8569461784510297,7.735961013702143,6.90092119647759
AMZN,0,1,1,7.098840973935033,2.8411367683942794,6.8521850429235585,5.990012961733952
AMZN,0,1,2,7.090801834531629,2.8278152393886793,7.487715678661561,6.6638589071657615
AMZN,0,1,3,7.0865387492995255,2.813421812295192,6.741873922249337,5.886412897421034
AMZN,1,1,0,7.0959853807322375,2.83445715117485,6.777785477987361,5.9175725022000405
AMZN,1,1,1,7.086062545335429,2.811681123269469,6.825477133259756,5.979254077646663
AMZN,1,1,2,7.083873670465955,2.801812639038893,7.111439137346254,6.2877953570462894
AMZN,1,1,3,7.082107363687681,2.7938269245238603,6.71169823020053,5.8643450384476115
AMZN,2,1,0,7.086897903953225,2.8159762907103194,7.404980464826506,6.587515855286777
AMZN,2,1,1,7.084259932303446,2.8042569213521817,7.1066528342019035,6.281901205099522
AMZN,2,1,2,7.067011356002597,2.7765964973215307,6.862586413473576,5.9901811831967375
AMZN,2,1,3,7.061421666581447,2.779670441050215,6.309284566915168,5.385790441339869
